Código;Distrito;Material noble;Calamina o tejas;Material precario;Cemento;Tierra;Parquet, losetas o similares;Material noble;Material de adobe o tapia;Material precario;Con agua por red pública domiciliaria;Pilón o pileta de uso público;Pozo (Agua subterránea);No tiene agua por red pública
151021;Lima, Yauyos, distrito: Miraflores;0;86;3;7;78;0;1;83;4;78;0;6;5
151022;Lima, Yauyos, distrito: Omas;11;215;6;91;139;2;47;142;37;179;0;0;53
151023;Lima, Yauyos, distrito: Putinza;34;129;2;74;89;2;65;74;19;138;0;10;17
151024;Lima, Yauyos, distrito: Quinches;3;271;2;27;240;3;12;256;8;225;21;13;17
151025;Lima, Yauyos, distrito: Quinocay;28;158;3;62;114;10;33;122;33;165;5;4;18
151026;Lima, Yauyos, distrito: San Joaquín;5;73;1;11;65;4;11;53;17;61;0;9;11
151027;Lima, Yauyos, distrito: San Pedro de Pilas;0;113;1;21;90;0;4;109;1;108;0;6;0
151028;Lima, Yauyos, distrito: Tanta;0;144;2;14;128;0;1;140;5;135;0;1;10
151029;Lima, Yauyos, distrito: Tauripampa;8;177;12;13;159;0;11;194;26;179;16;4;35
151030;Lima, Yauyos, distrito: Tomas;1;118;53;11;155;1;5;127;39;13;4;78;77
151031;Lima, Yauyos, distrito: Tupe;1;176;3;7;161;0;8;68;100;155;0;3;22
151032;Lima, Yauyos, distrito: Viñac;19;403;56;40;429;2;42;380;53;275;29;85;90
151033;Lima, Yauyos, distrito: Vitis;0;99;5;5;99;0;4;93;8;97;0;3;5
